Size,Zeep Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
430,0.019015767,0.1579551,0.032011468,0.024844721,0.017964644
431,0.018869732,0.15747127,0.032375477,0.026915709,0.017720306
432,0.018815398,0.15868293,0.03283095,0.024191227,0.01747144
433,0.018281536,0.16010776,0.032233234,0.023958433,0.017896662
434,0.019193674,0.15827547,0.032118056,0.024305556,0.017939815
435,0.019623006,0.16220397,0.03441276,0.025132915,0.01817303
436,0.019959306,0.16170913,0.032748766,0.024125569,0.01840907
437,0.019326018,0.16286297,0.03340779,0.024473147,0.017675051
438,0.019661281,0.16264357,0.032509245,0.024819935,0.018298618
439,0.019510292,0.1635938,0.034435663,0.02468052,0.018242123
440,0.019360516,0.1644666,0.034809817,0.02532512,0.018773833
441,0.02009016,0.16326931,0.032732263,0.024304194,0.018130146
442,0.019644435,0.16884392,0.034475986,0.0261271,0.018858658
443,0.020378027,0.16843867,0.0344556,0.024414254,0.01870447
444,0.01953626,0.16526887,0.035125803,0.024272325,0.018746916
445,0.01967959,0.1704905,0.033524524,0.02383307,0.018196203
446,0.019724453,0.168203,0.03508772,0.024382992,0.017841212
447,0.019767558,0.1697626,0.034866396,0.023244264,0.018178206
448,0.019315014,0.16975309,0.035742734,0.025189167,0.01861808
449,0.019856317,0.17291957,0.035920974,0.025444023,0.019656755
450,0.0215,0.1796,0.0359,0.0253,0.0191
451,0.020244539,0.17588694,0.035778712,0.025756665,0.018941673
452,0.020894023,0.17689604,0.036162734,0.025012556,0.019085886
453,0.021542178,0.17787397,0.037950475,0.026273405,0.019830884
454,0.021287328,0.1779661,0.03601695,0.025726393,0.01846247
455,0.020018198,0.17884946,0.037508845,0.026084319,0.019512689
456,0.021888934,0.17612484,0.03556952,0.025233077,0.018950142
457,0.020820638,0.17631525,0.035141174,0.02508633,0.018281536
458,0.01994708,0.1767759,0.036739264,0.025951557,0.018522289
459,0.01988984,0.17645858,0.03651571,0.026009792,0.019277846
460,0.020852499,0.17888173,0.037105184,0.025452316,0.019421445
461,0.021719087,0.18174367,0.03872554,0.02776355,0.020592153
462,0.02084189,0.18151951,0.03809035,0.026694044,0.019609855
463,0.020987654,0.17932099,0.03713992,0.026748972,0.019032922
464,0.020313466,0.18230563,0.037636627,0.026500309,0.019488554
465,0.021390926,0.1831146,0.037201613,0.02645448,0.019944198
466,0.021538781,0.18090504,0.03758931,0.026198613,0.019571295
467,0.02117061,0.18181819,0.037982564,0.025633043,0.020029057
468,0.021424858,0.18450338,0.037441496,0.026105044,0.021216849
469,0.020950595,0.19418387,0.038982697,0.025432562,0.019491348
470,0.020261096,0.18788512,0.03926893,0.026840732,0.020052219
471,0.021666318,0.1879841,0.03966925,0.027213732,0.020096295
472,0.021292217,0.18974197,0.037444934,0.026117055,0.020033564
473,0.023441607,0.19499633,0.039209504,0.02733102,0.0212341
474,0.021487255,0.19433327,0.039287973,0.027596377,0.020960607
475,0.02132151,0.19822672,0.03842094,0.027232425,0.020688199
476,0.022953248,0.20076159,0.04146393,0.02676116,0.019462662
477,0.021623913,0.19185923,0.03996184,0.02734789,0.019715922
478,0.021988528,0.19088592,0.04025919,0.027937114,0.021244954
479,0.022990953,0.19510378,0.040659927,0.02639702,0.021500798
480,0.023253333,0.18858667,0.03925333,0.026026666,0.021333333
481,0.023300556,0.20329201,0.04136383,0.027148355,0.020842241
482,0.022172237,0.20554842,0.042095117,0.027956298,0.020565553
483,0.021790467,0.20513096,0.041219406,0.027372263,0.019643623
484,0.021297192,0.19221254,0.042379264,0.028181134,0.020759385
485,0.021877358,0.19743507,0.039767217,0.02726587,0.020045264
486,0.021922246,0.19838013,0.040712744,0.027321814,0.021058315
487,0.022294372,0.2038961,0.04199134,0.028030302,0.020887446
488,0.022557206,0.20301485,0.04131873,0.027871164,0.021255828
489,0.022603782,0.20049989,0.04292545,0.026733318,0.020104324
490,0.021450348,0.20263502,0.04344512,0.028963415,0.020797038
491,0.023240589,0.20731042,0.04255319,0.027495908,0.021167485
492,0.023179533,0.20446096,0.043297615,0.028537065,0.021758145
493,0.02311822,0.20663965,0.042511232,0.028925167,0.021693876
494,0.023383467,0.21056098,0.04501043,0.028872544,0.021187836
495,0.023649763,0.21361786,0.04410956,0.030139698,0.022549774
496,0.02414021,0.21902557,0.045414463,0.028328924,0.02138448
497,0.02385686,0.21471173,0.043627124,0.028385244,0.021647891
498,0.024236389,0.22355025,0.043824703,0.028220452,0.022576362
499,0.023397649,0.21224219,0.04335773,0.028720338,0.0218452
500,0.023222223,0.21566667,0.044333335,0.029111112,0.02188889
