Size,Zeep Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
94,0.002903576,0.010716076,0.002276905,0.004094251,0.003133356
95,0.002892248,0.0112101,0.002491133,0.004180037,0.003314474
96,0.003136,0.01184,0.002410667,0.004117333,0.0032
97,0.003211761,0.011575271,0.002500431,0.004332644,0.003233316
98,0.003266693,0.012086763,0.002613354,0.004769371,0.003484472
99,0.003211968,0.012671873,0.002507975,0.004509955,0.003343967
100,0.003133333,0.013177778,0.002555556,0.004444445,0.003466667
101,0.003299367,0.012883243,0.002581138,0.004646048,0.003546258
102,0.003513305,0.012851898,0.002991976,0.004782628,0.003717304
103,0.003318913,0.012657648,0.002586464,0.004486255,0.003502026
104,0.003328018,0.013889852,0.002750237,0.005176917,0.003605353
105,0.003406599,0.014093052,0.002706613,0.004759905,0.003593261
106,0.00405154,0.015687937,0.003203543,0.005182202,0.003533319
107,0.00349534,0.013553358,0.002782005,0.004993342,0.003875785
108,0.00379197,0.013823889,0.002879977,0.00496796,0.003647971
109,0.003609147,0.01438814,0.002979362,0.004771825,0.003851371
110,0.003788897,0.015253367,0.002982229,0.005157789,0.003960009
111,0.003675292,0.015515158,0.003009299,0.005451272,0.003897289
112,0.003808054,0.016402012,0.003111156,0.005276519,0.004081836
113,0.003842001,0.015794892,0.003390001,0.005348668,0.004017779
114,0.003774636,0.015757207,0.003014643,0.005345291,0.003951968
115,0.003628837,0.01517978,0.003373285,0.005187703,0.003884388
116,0.003892455,0.018173382,0.003248009,0.005361792,0.004150233
117,0.004003952,0.016405802,0.003171962,0.005433935,0.005537934
118,0.004169398,0.01704471,0.003513832,0.00558542,0.004221844
119,0.003887346,0.017109612,0.003755124,0.00565913,0.005050906
120,0.0044,0.018693333,0.003626667,0.00528,0.004106667
121,0.004624899,0.0197096,0.00357623,0.005727346,0.00435601
122,0.004066694,0.018191677,0.003470245,0.005530703,0.004337807
123,0.004127374,0.017411508,0.003580703,0.005521389,0.004264043
124,0.004078258,0.017690824,0.003582254,0.005483605,0.004326261
125,0.004277778,0.017944444,0.0035,0.005583333,0.004444445
126,0.004200033,0.018088145,0.003612029,0.005656045,0.004340035
127,0.004289786,0.018513815,0.003781785,0.005588011,0.00445912
128,0.004323586,0.018659689,0.003783138,0.005518261,0.004636477
129,0.004385965,0.019005848,0.003869969,0.00579062,0.00458663
130,0.004622274,0.019182436,0.003871154,0.005951177,0.004564495
131,0.004424908,0.019708306,0.003930016,0.005938692,0.004570464
132,0.004517322,0.019682614,0.004106656,0.006013318,0.004663988
133,0.004610747,0.019861678,0.004019625,0.006118106,0.004817639
134,0.004436901,0.020070275,0.003990233,0.006312906,0.004794235
135,0.004559909,0.02045959,0.004199916,0.006179877,0.004859903
136,0.004744923,0.020974372,0.004291586,0.006256044,0.004775145
137,0.004749292,0.020915153,0.004262185,0.006241057,0.004749292
138,0.004876104,0.021129783,0.004170756,0.00640947,0.004753435
139,0.004942237,0.02165318,0.004231791,0.006486687,0.004942237
140,0.004915534,0.023488784,0.004355536,0.00640886,0.004946645
141,0.004982139,0.021683274,0.004324121,0.006517516,0.004856803
142,0.00476491,0.021457873,0.004417798,0.006689807,0.005112023
143,0.0051797,0.022974992,0.004544155,0.006577902,0.005497474
144,0.005248,0.025056,0.006208,0.007456,0.005952
145,0.005542309,0.026809307,0.0049623,0.007121222,0.00580009
146,0.005450652,0.024365712,0.004996431,0.007689313,0.005450652
147,0.005455377,0.025055533,0.004900039,0.007611394,0.005553378
148,0.005328071,0.024469659,0.005328071,0.007136984,0.00539385
149,0.005430104,0.02466724,0.004999669,0.007814053,0.005761208
150,0.005266667,0.024833333,0.0063,0.008733333,0.005833333
151,0.005771618,0.026274286,0.005201168,0.007751418,0.006878964
152,0.005640939,0.026110454,0.004965378,0.007160952,0.005438271
153,0.005473956,0.025363797,0.005099959,0.007241942,0.005541956
154,0.005612402,0.025769139,0.005201738,0.007426166,0.005543958
155,0.005683188,0.026590431,0.005304309,0.00743981,0.005683188
156,0.005685363,0.026554808,0.005338695,0.007522707,0.005720031
157,0.005756551,0.027387224,0.005547221,0.007745177,0.005896103
158,0.005723114,0.026965346,0.005863558,0.008040448,0.005898669
159,0.005971309,0.029609215,0.005971309,0.00752597,0.005723977
160,0.005795556,0.02752,0.005475556,0.007573333,0.00576
161,0.005867621,0.027978534,0.005438283,0.007406083,0.006010734
162,0.005975952,0.028115775,0.005579955,0.008027935,0.006011952
163,0.006121636,0.028615931,0.005578295,0.007968993,0.005868077
164,0.006049783,0.02897336,0.005794672,0.007944896,0.006013339
165,0.006013273,0.029076375,0.005756609,0.008139919,0.005939941
166,0.006086764,0.02906891,0.005754759,0.008115686,0.00708278
167,0.006160469,0.029763231,0.005974913,0.008090255,0.006160469
168,0.006309501,0.030128803,0.005936158,0.008325555,0.006048161
169,0.006159162,0.030345138,0.006008938,0.008224734,0.006234273
170,0.006309029,0.030676236,0.005969022,0.008424631,0.006309029
171,0.006345949,0.031007752,0.006155951,0.008473932,0.00619395
172,0.006306616,0.031456638,0.00619195,0.008255934,0.006039063
173,0.006189689,0.031025335,0.006035908,0.008342625,0.006228134
